time,measured,inverted
0,-27.8,0.0
15,-27.3,0.0
30,-27.1,0.0
45,-24.5,0.0
60,-24.4,0.0
75,-24.7,0.0
90,-24.1,0.0
105,-24.4,0.0
120,-23.9,0.0
135,-23.6,0.0
150,-23.6,0.0
165,-23.5,0.0
180,-23.0,0.0
195,-23.0,0.0
210,-23.8,0.0
225,-23.6,0.0
240,-22.7,0.0
255,-23.3,0.0
270,-23.6,0.0
285,-24.3,0.0
300,-24.3,0.0
315,-24.8,0.0
330,-9.36,14.9
345,54.9,80.9
360,122.0,151.0
375,141.0,169.0
390,199.0,230.0
405,174.0,203.0
420,141.0,169.0
435,318.0,352.0
450,333.0,368.0
465,143.0,173.0
480,62.8,92.2
495,99.2,127.0
510,214.0,247.0
525,283.0,318.0
540,660.0,707.0
555,899.0,952.0
570,1201.0,1255.0
585,1373.0,1436.0
600,1045.0,1099.0
615,862.0,909.0
630,561.0,599.0
645,767.0,813.0
660,1289.0,1349.0
675,1654.0,1728.0
690,1699.0,1777.0
705,1506.0,1576.0
720,1649.0,1719.0
735,2301.0,2355.0
750,2519.0,2593.0
765,2749.0,2726.0
780,2263.0,2402.0
795,2801.0,2826.0
810,3172.0,3303.0
825,2790.0,3065.0
840,2972.0,3147.0
855,2971.0,2930.0
870,2776.0,3000.0
885,1426.0,1473.0
900,1398.0,1425.0
915,2091.0,2092.0
930,2360.0,2501.0
945,1789.0,1864.0
960,2372.0,2487.0
975,2411.0,2427.0
990,2402.0,2504.0
1005,2120.0,2215.0
1020,1621.0,1659.0
1035,1929.0,1986.0
1050,1021.0,1132.0
1065,1020.0,1058.0
1080,714.0,798.0
1095,623.0,692.0
1110,527.0,582.0
1125,450.0,495.0
1140,311.0,350.0
1155,194.0,230.0
1170,133.0,168.0
1185,60.9,94.1
1200,-2.94,28.7
1215,-26.0,3.26
1230,-28.5,0.0
1245,-27.1,0.0
1260,-29.5,0.0
1275,-29.0,0.0
1290,-29.8,0.0
1305,-28.6,0.0
1320,-30.7,0.0
1335,-30.6,0.0
1350,-29.3,0.0
1365,-29.7,0.0
1380,-29.2,0.0
1395,-28.2,0.0
1410,-30.4,0.0
1425,-30.6,0.0
1440,-30.5,0.0
1455,-28.7,0.0
1470,-27.9,0.0
1485,-29.5,0.0
1500,-29.0,0.0
1515,-28.7,0.0
1530,-28.4,0.0
1545,-27.5,0.0
1560,-26.8,0.0
1575,-25.8,0.0
1590,-26.8,0.0
1605,-24.9,0.0
1620,-25.7,0.0
1635,-25.8,0.0
1650,-24.2,0.0
1665,-23.8,0.0
1680,-23.6,0.0
1695,-23.8,0.0
1710,-23.8,0.0
1725,-25.0,0.0
1740,-25.8,0.0
1755,-25.3,0.0
1770,-9.57,17.6
1785,38.7,67.1
1800,103.0,132.0
1815,182.0,211.0
1830,285.0,318.0
1845,397.0,435.0
1860,490.0,533.0
1875,716.0,746.0
1890,1087.0,1101.0
1905,1200.0,1260.0
1920,1278.0,1414.0
1935,1816.0,1944.0
1950,1983.0,2172.0
1965,1969.0,2085.0
1980,2058.0,2155.0
1995,2310.0,2402.0
2010,2486.0,2591.0
2025,2524.0,2628.0
2040,2660.0,2782.0
2055,2664.0,2797.0
2070,2685.0,2815.0
2085,2606.0,2757.0
2100,2823.0,2929.0
2115,2908.0,3031.0
2130,3006.0,3162.0
2145,2973.0,3256.0
2160,2972.0,3086.0
2175,2981.0,3093.0
2190,3042.0,3257.0
2205,4329.0,4454.0
2220,4431.0,4585.0
2235,4448.0,4598.0
2250,4381.0,4533.0
2265,4356.0,4481.0
2280,4322.0,4464.0
2295,4244.0,4384.0
2310,4148.0,4287.0
2325,4041.0,4177.0
2340,3893.0,4023.0
2355,3705.0,3837.0
2370,3482.0,3637.0
2385,3337.0,3455.0
2400,3121.0,3233.0
2415,2934.0,3040.0
2430,2710.0,2813.0
2445,2479.0,2578.0
2460,2218.0,2311.0
2475,1946.0,2028.0
2490,1648.0,1728.0
2505,1356.0,1429.0
2520,1065.0,1130.0
2535,754.0,802.0
2550,521.0,573.0
2565,316.0,358.0
2580,164.0,203.0
2595,84.2,121.0
2610,33.1,58.8
2625,21.2,53.7
2640,4.98,34.3
2655,-21.1,8.6
2670,-31.8,0.0
2685,-30.1,0.0
2700,-28.4,0.0
2715,-29.7,0.0
2730,-31.3,0.0
2745,-30.2,0.0
2760,-29.8,0.0
2775,-28.1,0.0
2790,-29.7,0.0
2805,-27.9,0.0
2820,-29.5,0.0
2835,-29.0,0.0
2850,-28.4,0.0
2865,-27.2,0.0
2880,-26.8,0.0
2895,-27.5,0.0
2910,-26.4,0.0
2925,-26.4,0.0
2940,-26.5,0.0
2955,-26.4,0.0
2970,-26.2,0.0
2985,-24.8,0.0
3000,-24.5,0.0
3015,-24.4,0.0
3030,-25.3,0.0
3045,-24.0,0.0
3060,-25.2,0.0
3075,-24.0,0.0
3090,-23.7,0.0
3105,-24.1,0.0
3120,-24.3,0.0
3135,-23.9,0.0
3150,-24.9,0.0
3165,-25.9,0.0
3180,-24.6,0.0
3195,-15.2,8.4
3210,2.82,28.1
3225,76.3,102.0
3240,131.0,159.0
3255,243.0,272.0
3270,447.0,486.0
3285,509.0,545.0
3300,710.0,752.0
3315,1073.0,1110.0
3330,1170.0,1217.0
3345,1310.0,1372.0
3360,1410.0,1440.0
3375,1744.0,1784.0
3390,1678.0,1736.0
3405,1895.0,1932.0
3420,2837.0,2945.0
3435,2184.0,2317.0
3450,2437.0,2572.0
3465,2442.0,2571.0
3480,2213.0,2314.0
3495,2444.0,2562.0
3510,2816.0,2925.0
3525,2378.0,2492.0
3540,3295.0,3425.0
3555,3034.0,3148.0
3570,3349.0,3473.0
3585,3637.0,3799.0
3600,3231.0,3215.0
3615,3435.0,3484.0
3630,3501.0,3729.0
3645,3762.0,3864.0
3660,4363.0,4501.0
3675,4414.0,4611.0
3690,4047.0,4405.0
3705,3741.0,3697.0
3720,2419.0,2509.0
3735,2104.0,2191.0
3750,2063.0,2144.0
3765,2050.0,2137.0
3780,2255.0,2341.0
3795,2301.0,2384.0
3810,2800.0,2906.0
3825,2457.0,2531.0
3840,2248.0,2329.0
3855,2072.0,2171.0
3870,1842.0,1924.0
3885,1939.0,2010.0
3900,1638.0,1717.0
3915,1138.0,1199.0
3930,850.0,906.0
3945,808.0,860.0
3960,811.0,858.0
3975,715.0,756.0
3990,560.0,599.0
4005,391.0,428.0
4020,241.0,274.0
4035,163.0,194.0
4050,89.0,118.0
4065,17.7,48.6
4080,-0.841,26.9
4095,-26.6,1.99
4110,-29.5,0.0
4125,-27.4,0.0
4140,-27.3,0.0
4155,-26.4,0.0
4170,-27.7,0.0
4185,-25.1,0.0
4200,-27.0,0.0
4215,-25.7,0.0
4230,-23.6,0.0
4245,-22.2,0.0
4260,-23.9,0.0
4275,-22.9,0.0
4290,-24.3,0.0
4305,-22.9,0.0
4320,-24.3,0.0
4335,-25.4,0.0
4350,-24.5,0.0
4365,-23.0,0.0
4380,-23.2,0.0
4395,-23.0,0.0
4410,-23.0,0.0
4425,-23.7,0.0
4440,-22.8,0.0
4455,-23.3,0.0
4470,-23.8,0.0
4485,-23.3,0.0
4500,-23.9,0.0
4515,-22.2,0.0
4530,-24.0,0.0
4545,-23.4,0.0
4560,-22.0,0.0
4575,-23.0,0.0
4590,-24.3,0.0
4605,-23.1,0.0
4620,-23.3,0.0
4635,-21.6,0.0
4650,-21.7,0.0
4665,-21.9,0.0
4680,2.92,26.9
4695,-0.983,20.8
4710,5.6,29.3
4725,88.1,112.0
4740,97.4,122.0
4755,94.4,119.0
4770,66.0,88.2
4785,51.4,75.6
4800,90.5,114.0
4815,57.1,81.4
4830,53.7,75.6
4845,99.1,122.0
4860,168.0,190.0
4875,282.0,313.0
4890,249.0,272.0
4905,178.0,204.0
4920,241.0,266.0
4935,222.0,248.0
4950,276.0,303.0
4965,322.0,350.0
4980,404.0,435.0
4995,369.0,402.0
5010,409.0,438.0
5025,598.0,635.0
5040,429.0,461.0
5055,314.0,341.0
5070,212.0,238.0
5085,208.0,233.0
5100,638.0,695.0
5115,581.0,618.0
5130,545.0,580.0
5145,973.0,1009.0
5160,1240.0,1297.0
5175,969.0,1021.0
5190,730.0,782.0
5205,680.0,721.0
5220,758.0,804.0
5235,958.0,1011.0
5250,1102.0,1162.0
5265,2327.0,2418.0
5280,1221.0,1284.0
5295,1628.0,1698.0
5310,1426.0,1469.0
5325,1145.0,1220.0
5340,2040.0,2128.0
5355,1500.0,1581.0
5370,1805.0,1717.0
5385,1183.0,1224.0
5400,1351.0,1400.0
5415,505.0,547.0
5430,348.0,382.0
5445,198.0,224.0
5460,191.0,222.0
5475,130.0,158.0
5490,122.0,150.0
5505,95.2,122.0
5520,16.7,45.8
5535,-7.72,22.0
5550,-24.6,0.0
5565,-27.2,0.0
5580,-25.3,0.0
5595,-24.9,0.0
5610,-25.4,0.0
5625,-24.5,0.0
5640,-23.5,0.0
5655,-22.0,0.0
5670,-22.7,0.0
5685,-23.6,0.0
5700,-22.6,0.0
5715,-23.8,0.0
5730,-21.9,0.0
5745,-21.5,0.0
5760,-21.8,0.0
5775,-21.8,0.0
5790,-21.2,0.0
5805,-20.9,0.0
5820,-20.8,0.0
5835,-21.0,0.0
5850,-21.2,0.0
5865,-21.3,0.0
5880,-21.4,0.0
5895,-20.7,0.0
5910,-21.2,0.0
5925,-21.3,0.0
5940,-21.2,0.0
5955,-21.3,0.0
5970,-21.1,0.0
5985,-20.5,0.0
6000,-20.1,0.0
6015,-21.0,0.0
6030,-20.2,0.0
6045,-21.1,0.0
6060,-19.9,0.0
6075,-16.9,3.26
6090,15.3,36.9
6105,59.0,81.3
6120,112.0,135.0
6135,178.0,203.0
6150,297.0,326.0
6165,470.0,504.0
6180,657.0,696.0
6195,920.0,963.0
6210,1159.0,1183.0
6225,1359.0,1566.0
6240,1571.0,1625.0
6255,1994.0,2021.0
6270,1862.0,2025.0
6285,1955.0,2166.0
6300,1895.0,2002.0
6315,1494.0,1504.0
6330,1299.0,1355.0
6345,1932.0,1833.0
6360,1444.0,1488.0
6375,2502.0,2519.0
6390,3339.0,3199.0
6405,2258.0,2185.0
6420,1812.0,1854.0
6435,3204.0,3053.0
6450,3327.0,3225.0
6465,1786.0,1821.0
6480,3152.0,2925.0
6495,4508.0,4229.0
6510,3736.0,3987.0
6525,2871.0,3121.0
6540,4141.0,4093.0
6555,3350.0,3714.0
6570,4002.0,4096.0
6585,2142.0,2245.0
6600,3210.0,3197.0
6615,3161.0,3491.0
6630,3698.0,3611.0
6645,4096.0,4286.0
6660,2581.0,2411.0
6675,2485.0,2540.0
6690,2340.0,2725.0
6705,3459.0,3645.0
6720,2822.0,3063.0
6735,3280.0,3346.0
6750,2664.0,2621.0
6765,2070.0,2001.0
6780,2536.0,2568.0
6795,1454.0,1551.0
6810,1582.0,1719.0
6825,1454.0,1530.0
6840,1138.0,1260.0
6855,813.0,860.0
6870,550.0,591.0
6885,332.0,372.0
6900,182.0,218.0
6915,102.0,134.0
6930,48.3,80.0
6945,30.7,59.4
6960,9.01,37.3
6975,-18.1,8.69
6990,-24.4,0.0
7005,-24.6,0.0
7020,-25.0,0.0
7035,-26.4,0.0
7050,-25.8,0.0
7065,-23.8,0.0
7080,-23.5,0.0
7095,-24.0,0.0
7110,-21.9,0.0
7125,-23.5,0.0
7140,-23.2,0.0
7155,-23.1,0.0
7170,-23.0,0.0
7185,-23.0,0.0
7200,-21.8,0.0
7215,-21.5,0.0
7230,-21.6,0.0
7245,-22.1,0.0
7260,-21.1,0.0
7275,-22.3,0.0
7290,-21.9,0.0
7305,-22.2,0.0
7320,-22.2,0.0
7335,-21.1,0.0
7350,-20.7,0.0
7365,-20.3,0.0
7380,-19.7,0.0
7395,-20.4,0.0
7410,-20.1,0.0
7425,-21.5,0.0
7440,-21.1,0.0
7455,-19.7,0.0
7470,-20.9,0.0
7485,-20.9,0.0
7500,-20.9,0.0
7515,-16.8,3.16
7530,20.8,41.9
7545,84.3,104.0
7560,103.0,124.0
7575,157.0,180.0
7590,273.0,297.0
7605,433.0,463.0
7620,618.0,667.0
7635,897.0,940.0
7650,1175.0,1225.0
7665,1460.0,1498.0
7680,1749.0,1818.0
7695,2036.0,2111.0
7710,2309.0,2396.0
7725,2560.0,2658.0
7740,2801.0,2903.0
7755,3017.0,3133.0
7770,3219.0,3327.0
7785,3401.0,3471.0
7800,3581.0,3706.0
7815,3754.0,3883.0
7830,3899.0,4029.0
7845,4030.0,4164.0
7860,4133.0,4273.0
7875,4252.0,4390.0
7890,4333.0,4477.0
7905,4391.0,4533.0
7920,4427.0,4567.0
7935,4457.0,4596.0
7950,4463.0,4607.0
7965,4465.0,4603.0
7980,4452.0,4592.0
7995,4438.0,4583.0
8010,4016.0,4391.0
8025,4129.0,3995.0
8040,4352.0,4486.0
8055,4225.0,4357.0
8070,4121.0,4252.0
8085,4004.0,4135.0
8100,3851.0,3976.0
8115,3128.0,3738.0
8130,3532.0,3648.0
8145,3328.0,3442.0
8160,3147.0,3253.0
8175,2954.0,3057.0
8190,2847.0,2945.0
8205,2379.0,2245.0
8220,2073.0,2250.0
8235,1890.0,1853.0
8250,1529.0,1585.0
8265,1353.0,1360.0
8280,1080.0,1115.0
8295,829.0,880.0
8310,561.0,583.0
8325,362.0,403.0
8340,208.0,244.0
8355,131.0,160.0
8370,84.5,111.0
8385,26.5,53.2
8400,12.9,37.1
8415,-16.9,9.9
8430,-25.2,0.0
8445,-26.3,0.0
8460,-25.4,0.0
8475,-26.0,0.0
8490,-24.3,0.0
8505,-24.4,0.0
8520,-22.0,0.0
8535,-25.4,0.0
8550,-22.4,0.0
8565,-23.7,0.0
8580,-23.1,0.0
8595,-22.3,0.0
8610,-21.6,0.0
8625,-22.0,0.0
8640,-21.6,0.0
8655,-21.0,0.0
8670,-21.2,0.0
8685,-21.9,0.0
8700,-21.6,0.0
8715,-21.0,0.0
8730,-21.4,0.0
8745,-19.8,0.0
8760,-21.7,0.0
8775,-19.9,0.0
8790,-20.6,0.0
8805,-20.8,0.0
8820,-20.7,0.0
8835,-20.2,0.0
8850,-20.4,0.0
8865,-20.2,0.0
8880,-20.1,0.0
8895,-20.8,0.0
8910,-20.0,0.0
8925,-20.0,0.0
8940,-18.9,0.0
8955,-14.8,4.49
8970,12.8,33.7
8985,44.1,65.5
9000,77.0,97.3
9015,122.0,145.0
9030,230.0,255.0
9045,409.0,441.0
9060,650.0,688.0
9075,929.0,973.0
9090,1220.0,1292.0
9105,1525.0,1586.0
9120,1828.0,1899.0
9135,2117.0,2195.0
9150,2394.0,2480.0
9165,2664.0,2759.0
9180,2917.0,3018.0
9195,3151.0,3259.0
9210,3323.0,3479.0
9225,3601.0,3734.0
9240,3093.0,3232.0
9255,2765.0,3510.0
9270,4339.0,4524.0
9285,3900.0,4095.0
9300,2319.0,2067.0
9315,3663.0,3604.0
9330,2876.0,2850.0
9345,4433.0,4594.0
9360,3117.0,3848.0
9375,4080.0,4195.0
9390,3554.0,3810.0
9405,4408.0,4541.0
9420,4216.0,4559.0
9435,3788.0,3951.0
9450,4296.0,4567.0
9465,4186.0,4440.0
9480,3644.0,3538.0
9495,3629.0,3410.0
9510,3520.0,3643.0
9525,3453.0,3632.0
9540,3999.0,4233.0
9555,3653.0,3918.0
9570,3829.0,3970.0
9585,2958.0,2952.0
9600,3146.0,3318.0
9615,2286.0,2511.0
9630,2392.0,2499.0
9645,2413.0,2586.0
9660,1903.0,1912.0
9675,2265.0,2293.0
9690,1830.0,1891.0
9705,1431.0,1536.0
9720,872.0,931.0
9735,819.0,892.0
9750,593.0,635.0
9765,366.0,405.0
9780,195.0,229.0
9795,109.0,140.0
9810,59.5,88.5
9825,17.8,44.9
9840,11.8,40.8
9855,-16.9,11.0
9870,-27.4,0.0
9885,-28.3,0.0
9900,-25.4,0.0
9915,-25.9,0.0
9930,-25.5,0.0
9945,-25.0,0.0
9960,-24.1,0.0
9975,-24.2,0.0
9990,-23.4,0.0
10005,-22.9,0.0
10020,-23.2,0.0
10035,-23.7,0.0
10050,-23.9,0.0
10065,-21.9,0.0
10080,-21.6,0.0
10095,-22.4,0.0
10110,-22.0,0.0
10125,-22.6,0.0
10140,-22.9,0.0
10155,-22.1,0.0
10170,-21.7,0.0
10185,-21.4,0.0
10200,-22.6,0.0
10215,-22.6,0.0
10230,-22.2,0.0
10245,-22.5,0.0
10260,-22.4,0.0
10275,-22.1,0.0
10290,-21.9,0.0
10305,-20.8,0.0
10320,-21.1,0.0
10335,-21.8,0.0
10350,-22.3,0.0
10365,-21.4,0.0
10380,-20.0,0.0
10395,-5.52,14.8
10410,32.2,54.3
10425,93.3,115.0
10440,137.0,160.0
10455,184.0,207.0
10470,308.0,336.0
10485,478.0,511.0
10500,638.0,653.0
10515,886.0,931.0
10530,1126.0,1141.0
10545,1418.0,1476.0
10560,1740.0,1805.0
10575,2095.0,2166.0
10590,2355.0,2441.0
10605,2596.0,2689.0
10620,2818.0,2922.0
10635,3034.0,3147.0
10650,3241.0,3362.0
10665,3424.0,3554.0
10680,3602.0,3729.0
10695,3784.0,3914.0
10710,3906.0,4025.0
10725,3997.0,4134.0
10740,4149.0,4286.0
10755,4186.0,4326.0
10770,4239.0,4379.0
10785,4351.0,4496.0
10800,4357.0,4497.0
10815,3950.0,4323.0
10830,4443.0,4589.0
10845,4384.0,4526.0
10860,4379.0,4524.0
10875,4371.0,4517.0
10890,4333.0,4476.0
10905,4326.0,4473.0
10920,4224.0,4367.0
10935,4143.0,4282.0
10950,4023.0,4159.0
10965,3931.0,4062.0
10980,3768.0,3894.0
10995,3633.0,3757.0
11010,3503.0,3623.0
11025,3288.0,3400.0
11040,3109.0,3218.0
11055,2902.0,3008.0
11070,2672.0,2773.0
11085,2433.0,2528.0
11100,2171.0,2259.0
11115,1932.0,2009.0
11130,1640.0,1712.0
11145,1348.0,1409.0
11160,1087.0,1142.0
11175,791.0,840.0
11190,556.0,600.0
11205,350.0,389.0
11220,196.0,230.0
11235,99.8,131.0
11250,26.5,63.3
11265,45.9,72.5
11280,17.4,45.4
11295,-15.0,9.69
11310,-24.8,0.0
11325,-27.4,0.0
11340,-27.8,0.0
11355,-29.0,0.0
11370,-27.9,0.0
11385,-26.8,0.0
11400,-26.5,0.0
11415,-26.3,0.0
11430,-26.1,0.0
11445,-26.5,0.0
11460,-25.7,0.0
11475,-26.0,0.0
11490,-25.5,0.0
11505,-24.4,0.0
11520,-24.1,0.0
11535,-23.5,0.0
11550,-24.3,0.0
11565,-24.5,0.0
11580,-24.1,0.0
11595,-22.9,0.0
11610,-23.4,0.0
11625,-23.1,0.0
11640,-23.6,0.0
11655,-23.5,0.0
11670,-23.9,0.0
11685,-22.7,0.0
11700,-22.9,0.0
11715,-22.5,0.0
11730,-22.7,0.0
11745,-22.5,0.0
11760,-23.3,0.0
11775,-22.5,0.0
11790,-22.7,0.0
11805,-23.6,0.0
11820,-23.8,0.0
11835,-21.4,1.64
11850,13.9,37.0
11865,48.8,72.5
11880,133.0,158.0
11895,162.0,188.0
11910,320.0,348.0
11925,639.0,683.0
11940,890.0,936.0
11955,1230.0,1335.0
11970,1021.0,984.0
11985,854.0,885.0
12000,1375.0,1527.0
12015,1470.0,1520.0
12030,2304.0,2383.0
12045,2472.0,2555.0
12060,2665.0,2768.0
12075,2886.0,2996.0
12090,3158.0,3271.0
12105,3047.0,3229.0
12120,3321.0,3422.0
12135,3737.0,3689.0
12150,3319.0,3433.0
12165,3141.0,3294.0
12180,3483.0,3572.0
12195,3016.0,2857.0
12210,2249.0,2372.0
12225,870.0,934.0
12240,1558.0,1631.0
12255,1539.0,1634.0
12270,1207.0,1265.0
12285,1074.0,1141.0
12300,1855.0,1880.0
12315,3391.0,3623.0
12330,3077.0,3123.0
12345,4125.0,4283.0
12360,4129.0,4248.0
12375,3969.0,4101.0
12390,3860.0,3991.0
12405,3741.0,3868.0
12420,3641.0,3773.0
12435,3493.0,3609.0
12450,3319.0,3432.0
12465,3152.0,3261.0
12480,2954.0,3065.0
12495,2755.0,2860.0
12510,2545.0,2645.0
12525,2310.0,2405.0
12540,2074.0,2162.0
12555,1822.0,1902.0
12570,1563.0,1635.0
12585,1168.0,1203.0
12600,360.0,404.0
12615,784.0,817.0
12630,452.0,490.0
12645,310.0,353.0
12660,176.0,214.0
12675,192.0,230.0
12690,114.0,146.0
12705,46.4,75.9
12720,8.94,38.8
12735,-17.3,6.05
12750,-22.7,0.0
12765,-24.1,0.0
12780,-26.1,0.0
12795,-25.7,0.0
12810,-23.4,0.0
12825,-22.3,0.0
12840,-25.3,0.0
12855,-24.8,0.0
12870,-25.4,0.0
12885,-24.3,0.0
12900,-25.8,0.0
12915,-24.5,0.0
12930,-23.5,0.0
12945,-24.0,0.0
12960,-23.7,0.0
12975,-23.8,0.0
12990,-22.5,0.0
13005,-22.2,0.0
13020,-19.9,0.0
13035,-21.5,0.0
13050,-21.5,0.0
13065,-23.0,0.0
13080,-21.8,0.0
13095,-21.6,0.0
13110,-23.5,0.0
13125,-23.1,0.0
13140,-23.8,0.0
13155,-22.6,0.0
13170,-22.5,0.0
13185,-22.1,0.0
13200,-21.8,0.0
13215,-22.0,0.0
13230,-22.3,0.0
13245,-21.2,0.0
13260,-23.7,0.0
13275,-22.5,0.0
13290,-0.31,25.7
13305,33.5,59.2
13320,68.6,94.5
13335,125.0,151.0
13350,240.0,268.0
13365,369.0,403.0
13380,560.0,599.0
13395,807.0,852.0
13410,1075.0,1131.0
13425,1062.0,1109.0
13440,1737.0,1799.0
13455,2150.0,2249.0
13470,2272.0,2359.0
13485,2334.0,2429.0
13500,2544.0,2639.0
13515,2794.0,2902.0
13530,2950.0,3058.0
13545,3053.0,3168.0
13560,3223.0,3342.0
13575,3411.0,3536.0
13590,3555.0,3685.0
13605,3660.0,3794.0
13620,3774.0,3918.0
13635,3852.0,3989.0
13650,3952.0,4093.0
13665,4047.0,4166.0
13680,4230.0,4328.0
13695,4158.0,4234.0
13710,3901.0,4111.0
13725,4154.0,4287.0
13740,4157.0,4301.0
13755,4003.0,3990.0
13770,4085.0,4253.0
13785,3307.0,3504.0
13800,4073.0,4219.0
13815,3209.0,3331.0
13830,3860.0,3995.0
13845,3813.0,3952.0
13860,3691.0,3829.0
13875,3504.0,3637.0
13890,3256.0,3402.0
13905,3215.0,3344.0
13920,3039.0,3158.0
13935,2465.0,2868.0
13950,2538.0,2645.0
13965,2353.0,2454.0
13980,1922.0,2076.0
13995,1889.0,1972.0
14010,1293.0,1272.0
14025,887.0,1041.0
14040,911.0,1055.0
14055,749.0,814.0
14070,533.0,586.0
14085,342.0,388.0
14100,208.0,250.0
14115,128.0,168.0
14130,86.2,131.0
14145,23.7,66.5
14160,2.88,44.8
14175,-25.3,11.0
14190,-31.3,0.0
14205,-35.5,0.0
14220,-36.4,0.0
14235,-31.2,0.0
14250,-29.2,0.0
14265,-29.3,0.0
14280,-29.2,0.0
14295,-27.3,0.0
14310,-28.4,0.0
14325,-27.9,0.0
14340,-26.6,0.0
14355,-25.7,0.0
14370,-26.6,0.0
14385,-24.9,0.0
14400,-25.3,0.0
14415,-26.6,0.0
14430,-24.2,0.0
14445,-25.8,0.0
14460,-24.5,0.0
14475,-25.7,0.0
14490,-24.9,0.0
14505,-28.2,0.0
14520,-25.7,0.0
14535,-28.4,0.0
14550,-26.9,0.0
14565,-25.4,0.0
14580,-27.4,0.0
14595,-25.7,0.0
14610,-26.7,0.0
14625,-25.8,0.0
14640,-24.5,0.0
14655,-26.2,0.0
14670,-26.7,0.0
14685,-24.1,0.0
14700,-24.6,0.0
14715,-22.3,0.0
14730,-6.49,22.3
14745,34.6,62.5
14760,78.2,106.0
14775,134.0,161.0
14790,239.0,271.0
14805,409.0,447.0
14820,541.0,579.0
14835,633.0,672.0
14850,897.0,946.0
14865,1404.0,1459.0
14880,1754.0,1837.0
14895,2027.0,2106.0
14910,2244.0,2341.0
14925,2415.0,2534.0
14940,2899.0,3012.0
14955,3108.0,3195.0
14970,1518.0,1580.0
14985,2439.0,2529.0
15000,2224.0,2311.0
15015,2793.0,2905.0
15030,3896.0,3989.0
15045,3839.0,3977.0
15060,3609.0,3754.0
15075,4180.0,4313.0
15090,4126.0,4343.0
15105,3412.0,3575.0
15120,2376.0,2628.0
15135,4280.0,4466.0
15150,3780.0,3936.0
15165,3649.0,3829.0
15180,3916.0,3850.0
15195,4095.0,4292.0
15210,4209.0,4320.0
15225,4126.0,4278.0
15240,4130.0,4285.0
15255,3975.0,4119.0
15270,3587.0,3970.0
15285,3834.0,3963.0
15300,3671.0,3807.0
15315,2940.0,3068.0
15330,2527.0,2535.0
15345,2419.0,2557.0
15360,1638.0,1804.0
15375,2122.0,2424.0
15390,2583.0,2705.0
15405,1960.0,2005.0
15420,1614.0,1666.0
15435,831.0,898.0
15450,1614.0,1673.0
15465,989.0,1046.0
15480,1184.0,1253.0
15495,810.0,866.0
15510,553.0,603.0
15525,357.0,403.0
15540,226.0,268.0
15555,128.0,172.0
15570,25.2,61.0
15585,14.0,51.3
15600,-13.5,25.5
15615,-31.9,3.1
15630,-31.0,0.0
15645,-33.4,0.0
15660,-32.1,0.0
15675,-26.5,0.0
15690,-27.5,0.0
15705,-28.0,0.0
15720,-24.2,0.0
15735,-25.1,0.0
15750,-24.4,0.0
15765,-25.5,0.0
15780,-27.3,0.0
15795,-27.6,0.0
15810,-25.6,0.0
15825,-24.2,0.0
15840,-24.2,0.0
15855,-24.3,0.0
15870,-25.0,0.0
15885,-24.7,0.0
15900,-24.2,0.0
15915,-24.7,0.0
15930,-24.6,0.0
15945,-24.4,0.0
15960,-22.1,0.0
15975,-23.7,0.0
15990,-22.5,0.0
16005,-22.8,0.0
16020,-24.7,0.0
16035,-24.5,0.0
16050,-24.6,0.0
16065,-25.0,0.0
16080,-24.4,0.0
16095,-24.4,0.0
16110,-26.2,0.0
16125,-24.0,0.0
16140,-23.6,0.0
16155,-21.2,1.64
16170,16.0,43.1
16185,76.2,103.0
16200,156.0,184.0
16215,201.0,231.0
16230,299.0,331.0
16245,438.0,469.0
16260,656.0,698.0
16275,863.0,909.0
16290,1074.0,1127.0
16305,1313.0,1377.0
16320,1563.0,1628.0
16335,1781.0,1854.0
16350,2024.0,2107.0
16365,2252.0,2342.0
16380,2484.0,2546.0
16395,2147.0,2282.0
16410,2923.0,3028.0
16425,3102.0,3216.0
16440,3285.0,3394.0
16455,3433.0,3552.0
16470,3582.0,3702.0
16485,3706.0,3834.0
16500,3750.0,3861.0
16515,3866.0,4004.0
16530,3997.0,4130.0
16545,4041.0,4177.0
16560,4061.0,4205.0
16575,4135.0,4256.0
16590,3255.0,3340.0
16605,2743.0,2884.0
16620,2647.0,2778.0
16635,2420.0,2541.0
16650,3487.0,3613.0
16665,4236.0,4383.0
16680,3988.0,4151.0
16695,3737.0,3896.0
16710,3535.0,3654.0
16725,3275.0,3399.0
16740,3543.0,3690.0
16755,3101.0,3121.0
16770,3173.0,3315.0
16785,3102.0,3196.0
16800,1927.0,1993.0
16815,2600.0,2680.0
16830,2493.0,2601.0
16845,1960.0,2027.0
16860,1996.0,2099.0
16875,1697.0,1770.0
16890,1528.0,1602.0
16905,1309.0,1373.0
16920,822.0,885.0
16935,841.0,897.0
16950,632.0,683.0
16965,309.0,356.0
16980,153.0,191.0
16995,154.0,195.0
17010,113.0,148.0
17025,36.8,70.0
17040,41.1,68.9
17055,-5.66,20.4
17070,-25.6,0.43200000000000005
17085,-25.0,0.0
17100,-26.1,0.0
17115,-26.1,0.0
17130,-25.2,0.0
17145,-25.7,0.0
17160,-25.3,0.0
17175,-23.5,0.0
17190,-24.3,0.0
17205,-26.1,0.0
17220,-26.9,0.0
17235,-24.0,0.0
17250,-26.1,0.0
