time,measured,inverted
0,-1.33,0.0
15,-1.25,0.0
30,-3.2,0.0
45,-1.13,0.0
60,-1.14,0.0
75,-1.03,0.0
90,-0.304,0.0
105,-0.37799999999999995,0.0
120,-0.6409999999999999,0.0
135,-0.138,0.0
150,-0.39799999999999996,0.0
165,-0.535,0.0
180,0.795,0.0
195,-0.655,0.0
210,0.857,0.0
225,0.5329999999999999,0.0
240,-5.75,0.0
255,-1.69,0.0
270,-0.5710000000000001,0.0
285,-1.1,0.0
300,-0.193,0.0
315,-0.47,0.0
330,-1.54,0.0
345,-0.632,0.0
360,-16.0,0.0
375,-7.7,0.0
390,-3.54,0.0
405,-5.15,0.0
420,1.08,2.51
435,16.7,18.4
450,49.8,53.5
465,72.9,75.4
480,93.2,98.0
495,109.0,116.0
510,150.0,150.0
525,235.0,239.0
540,396.0,404.0
555,611.0,624.0
570,658.0,666.0
585,1012.0,1000.0
600,960.0,981.0
615,1096.0,1126.0
630,1292.0,1341.0
645,1269.0,1270.0
660,827.0,857.0
675,936.0,967.0
690,978.0,1024.0
705,782.0,815.0
720,546.0,556.0
735,751.0,770.0
750,725.0,735.0
765,673.0,697.0
780,1075.0,1016.0
795,908.0,925.0
810,1156.0,1208.0
825,755.0,773.0
840,809.0,843.0
855,1533.0,1425.0
870,1218.0,1432.0
885,1267.0,1317.0
900,1277.0,1322.0
915,1143.0,1164.0
930,714.0,735.0
945,353.0,349.0
960,216.0,215.0
975,76.6,74.2
990,35.0,36.3
1005,1.9,4.85
1020,-5.46,0.0
1035,-2.53,0.0
1050,-3.74,0.0
1065,-5.28,0.0
1080,-4.99,0.0
1095,-3.97,0.0
1110,-4.66,0.0
1125,-6.85,0.0
1140,-4.09,0.0
1155,-3.28,0.0
1170,-3.16,0.0
1185,-2.42,0.0
1200,2.27,0.0
1215,-2.83,0.0
1230,-5.33,0.0
1245,-5.42,0.0
1260,-6.53,0.0
1275,-5.17,0.0
1290,-1.99,0.0
1305,-2.9,0.0
1320,-3.91,0.0
1335,-4.94,0.0
1350,-4.39,0.0
1365,-3.08,0.0
1380,-4.62,0.0
1395,-4.01,0.0
1410,-2.46,0.0
1425,-1.61,0.0
1440,-0.614,0.0
1455,-1.01,0.0
1470,-1.17,0.0
1485,-1.33,0.0
1500,-1.43,0.0
1515,-0.665,0.0
1530,-0.467,0.0
1545,-0.9690000000000001,0.0
1560,-0.537,0.0
1575,0.28600000000000003,0.0
1590,-0.099,0.0
1605,0.35700000000000004,0.0
1620,-0.19,0.0
1635,0.56,0.0
1650,-0.52,0.0
1665,0.48700000000000004,0.0
1680,-3.07,0.0
1695,0.975,0.0
1710,-1.66,0.0
1725,-2.16,0.0
1740,-0.97,0.0
1755,-2.05,0.0
1770,-2.39,0.0
1785,1.04,0.0
1800,-8.77,0.0
1815,-4.62,0.0
1830,-1.22,0.0
1845,-5.58,0.0
1860,-2.04,3.15
1875,36.1,39.6
1890,161.0,167.0
1905,357.0,367.0
1920,625.0,649.0
1935,1020.0,1047.0
1950,1327.0,1362.0
1965,1571.0,1610.0
1980,1805.0,1848.0
1995,2039.0,2093.0
2010,2285.0,2346.0
2025,2549.0,2617.0
2040,2828.0,2903.0
2055,3104.0,3184.0
2070,3350.0,3438.0
2085,3536.0,3629.0
2100,3686.0,3784.0
2115,3797.0,3900.0
2130,3878.0,3979.0
2145,3891.0,3995.0
2160,3874.0,3982.0
2175,3805.0,3912.0
2190,3699.0,3798.0
2205,3521.0,3622.0
2220,3327.0,3418.0
2235,3082.0,3167.0
2250,2803.0,2884.0
2265,2527.0,2597.0
2280,2269.0,2333.0
2295,2042.0,2101.0
2310,1835.0,1888.0
2325,1610.0,1656.0
2340,1383.0,1420.0
2355,1127.0,1157.0
2370,741.0,761.0
2385,407.0,417.0
2400,234.0,235.0
2415,77.2,76.9
2430,29.0,28.9
2445,0.812,4.22
2460,-4.58,0.0
2475,0.418,0.0
2490,-1.36,0.0
2505,-1.0,0.0
2520,-1.16,0.0
2535,-1.01,0.0
2550,-4.18,0.0
2565,-4.36,0.0
2580,-4.13,0.0
2595,-1.73,0.0
2610,-2.38,0.0
2625,-1.47,0.0
2640,-2.37,0.0
2655,-5.63,0.0
2670,-3.21,0.0
2685,-1.74,0.0
2700,-3.33,0.0
2715,-3.26,0.0
2730,-5.08,0.0
2745,-2.61,0.0
2760,-3.51,0.0
2775,-4.24,0.0
2790,-4.17,0.0
2805,-4.91,0.0
2820,-4.86,0.0
2835,-5.94,0.0
2850,-7.47,0.0
2865,-3.18,0.0
2880,-1.62,0.0
2895,-0.978,0.0
2910,-1.0,0.0
2925,0.456,0.0
2940,-0.763,0.0
2955,-1.37,0.0
2970,-0.521,0.0
2985,-1.07,0.0
3000,-0.581,0.0
3015,-0.578,0.0
3030,-0.7909999999999999,0.0
3045,-0.797,0.0
3060,0.826,0.0
3075,-0.522,0.0
3090,-1.56,0.0
3105,0.172,0.0
3120,-4.15,0.0
3135,-0.851,0.0
3150,-1.7,0.0
3165,-1.63,0.0
3180,-0.423,0.0
3195,-1.45,0.0
3210,-2.97,0.0
3225,-0.753,0.0
3240,-12.7,0.0
3255,-2.09,0.0
3270,-2.82,0.0
3285,-3.48,0.0
3300,-2.07,1.61
3315,33.6,36.3
3330,149.0,154.0
3345,333.0,343.0
3360,612.0,627.0
3375,956.0,984.0
3390,1220.0,1253.0
3405,1465.0,1505.0
3420,1778.0,1827.0
3435,2038.0,2095.0
3450,2284.0,2349.0
3465,2554.0,2626.0
3480,2837.0,2919.0
3495,3109.0,3200.0
3510,3369.0,3462.0
3525,3572.0,3670.0
3540,2932.0,3012.0
3555,3025.0,3260.0
3570,3929.0,3820.0
3585,2769.0,2712.0
3600,2080.0,2162.0
3615,1874.0,1915.0
3630,1210.0,1245.0
3645,818.0,847.0
3660,801.0,829.0
3675,743.0,767.0
3690,744.0,771.0
3705,652.0,674.0
3720,569.0,588.0
3735,442.0,459.0
3750,379.0,391.0
3765,326.0,337.0
3780,243.0,253.0
3795,195.0,204.0
3810,157.0,165.0
3825,87.3,96.9
3840,45.5,53.3
3855,18.3,29.9
3870,-1.08,7.28
3885,-10.9,0.0
3900,-11.1,0.0
3915,-13.5,0.0
3930,-13.0,0.0
3945,-12.2,0.0
3960,-13.1,0.0
3975,-14.5,0.0
3990,-14.0,0.0
4005,-16.6,0.0
4020,-13.8,0.0
4035,-12.0,0.0
4050,-14.2,0.0
4065,-15.1,0.0
4080,-13.8,0.0
4095,-13.8,0.0
4110,-10.6,0.0
4125,-15.6,0.0
4140,-16.1,0.0
4155,-14.8,0.0
4170,-14.1,0.0
4185,-16.5,0.0
4200,-13.0,0.0
4215,-12.1,0.0
4230,-11.6,0.0
4245,-13.8,0.0
4260,-12.0,0.0
4275,-12.0,0.0
4290,-12.4,0.0
4305,-11.3,0.0
4320,-10.4,0.0
4335,-8.3,0.0
4350,-8.22,0.0
4365,-8.24,0.0
4380,-8.38,0.0
4395,-7.54,0.0
4410,-6.96,0.0
4425,-6.49,0.0
4440,-6.9,0.0
4455,-4.13,0.0
4470,-6.25,0.0
4485,-7.07,0.0
4500,-6.06,0.0
4515,-5.48,0.0
4530,-5.18,0.0
4545,-5.04,0.0
4560,-6.19,0.0
4575,-2.58,0.0
4590,-3.13,0.0
4605,-1.98,0.0
4620,-1.29,0.0
4635,-2.04,0.0
4650,-3.77,0.0
4665,-2.84,0.0
4680,-19.3,0.0
4695,-8.86,0.0
4710,-11.8,0.0
4725,-15.8,0.0
4740,-13.8,1.48
4755,23.9,38.8
4770,156.0,171.0
4785,357.0,379.0
4800,659.0,677.0
4815,1052.0,1090.0
4830,1340.0,1383.0
4845,1587.0,1637.0
4860,1835.0,1889.0
4875,2075.0,2137.0
4890,2329.0,2400.0
4905,2609.0,2688.0
4920,2913.0,3001.0
4935,3196.0,3302.0
4950,3464.0,3566.0
4965,3684.0,3788.0
4980,3849.0,3958.0
4995,3952.0,4066.0
5010,3673.0,4013.0
5025,4057.0,4175.0
5040,4108.0,4231.0
5055,2914.0,3188.0
5070,4012.0,4110.0
5085,4027.0,4128.0
5100,3461.0,3669.0
5115,3178.0,3221.0
5130,2698.0,2630.0
5145,2851.0,2945.0
5160,1676.0,1772.0
5175,2073.0,2124.0
5190,1792.0,1840.0
5205,514.0,537.0
5220,716.0,751.0
5235,575.0,602.0
5250,187.0,201.0
5265,55.1,66.6
5280,25.3,39.2
5295,11.3,27.7
5310,-7.33,6.68
5325,-14.8,0.0
5340,-15.4,0.0
5355,-16.4,0.0
5370,-14.2,0.0
5385,-14.2,0.0
5400,-14.3,0.0
5415,-13.8,0.0
5430,-11.9,0.0
5445,-14.8,0.0
5460,-16.1,0.0
5475,-15.7,0.0
5490,-16.7,0.0
5505,-16.0,0.0
5520,-12.3,0.0
5535,-14.2,0.0
5550,-13.1,0.0
5565,-15.2,0.0
5580,-12.6,0.0
5595,-12.6,0.0
5610,-10.0,0.0
5625,-14.5,0.0
5640,-12.6,0.0
5655,-10.8,0.0
5670,-7.56,0.0
5685,-7.92,0.0
5700,-7.97,0.0
5715,-7.11,0.0
5730,-6.78,0.0
5745,-7.5,0.0
5760,-3.46,0.0
5775,-3.4,0.0
5790,-2.57,0.0
5805,-4.46,0.0
5820,-2.31,0.0
5835,-0.8370000000000001,0.0
5850,-1.51,0.0
5865,-0.977,0.0
5880,-0.669,0.0
5895,-0.35200000000000004,0.0
5910,-0.94,0.0
5925,-1.5,0.0
5940,-1.98,0.0
5955,-0.86,0.0
5970,-1.44,0.0
5985,-1.29,0.0
6000,-8.35,0.0
6015,-2.53,0.0
6030,-2.98,0.0
6045,-2.08,0.0
6060,-2.77,0.0
6075,-1.39,0.0
6090,-1.26,0.0
6105,-0.9790000000000001,0.0
6120,-15.9,0.0
6135,-1.86,0.0
6150,-5.66,0.0
6165,-7.88,0.0
6180,1.05,8.16
6195,40.7,48.8
6210,173.0,183.0
6225,350.0,354.0
6240,619.0,634.0
6255,928.0,951.0
6270,1267.0,1297.0
6285,1566.0,1630.0
6300,1906.0,1945.0
6315,2085.0,2129.0
6330,2345.0,2402.0
6345,2566.0,2630.0
6360,2762.0,2819.0
6375,2971.0,3041.0
6390,3028.0,3093.0
6405,3377.0,3462.0
6420,3549.0,3645.0
6435,3622.0,3732.0
6450,3644.0,3751.0
6465,3782.0,3887.0
6480,3736.0,3808.0
6495,3813.0,3902.0
6510,3617.0,3730.0
6525,3445.0,3524.0
6540,3290.0,3364.0
6555,3122.0,3213.0
6570,2856.0,2931.0
6585,2547.0,2618.0
6600,2106.0,2185.0
6615,1947.0,2003.0
6630,1786.0,1827.0
6645,1351.0,1388.0
6660,1343.0,1375.0
6675,1195.0,1219.0
6690,610.0,630.0
6705,403.0,410.0
6720,376.0,376.0
6735,173.0,169.0
6750,48.0,56.3
6765,-4.15,4.15
6780,-8.53,0.0
6795,-8.48,0.0
6810,-5.64,0.0
6825,-6.95,0.0
6840,-6.86,0.0
6855,-4.1,0.0
6870,-2.6,0.0
6885,-3.54,0.0
6900,-3.83,0.0
6915,-1.46,0.0
6930,-2.57,0.0
6945,-5.55,0.0
6960,-6.42,0.0
6975,-7.33,0.0
6990,-4.9,0.0
7005,-5.8,0.0
7020,-8.12,0.0
7035,-4.3,0.0
7050,-8.42,0.0
7065,-6.91,0.0
7080,-7.06,0.0
7095,-9.48,0.0
7110,-7.05,0.0
7125,-7.16,0.0
7140,-3.07,0.0
7155,-4.15,0.0
7170,-5.68,0.0
7185,-4.59,0.0
7200,-6.45,0.0
7215,-4.58,0.0
7230,-5.24,0.0
7245,-3.74,0.0
7260,-4.03,0.0
7275,-4.4,0.0
7290,-4.1,0.0
7305,-3.55,0.0
7320,-3.14,0.0
7335,-3.76,0.0
7350,-3.28,0.0
7365,-3.64,0.0
7380,-3.35,0.0
7395,-3.92,0.0
7410,-3.23,0.0
7425,-3.68,0.0
7440,-8.35,0.0
7455,-2.78,0.0
7470,-3.82,0.0
7485,-4.0,0.0
7500,-3.37,0.0
7515,-2.07,0.0
7530,-4.55,0.0
7545,-3.53,0.0
7560,-15.9,0.0
7575,-4.43,0.0
7590,-10.8,0.0
7605,-8.63,0.0
7620,-9.81,2.04
7635,23.5,33.5
7650,104.0,121.0
7665,211.0,247.0
7680,512.0,562.0
7695,946.0,1003.0
7710,1076.0,1110.0
7725,1178.0,1215.0
7740,1088.0,1144.0
7755,1230.0,1269.0
7770,1229.0,1288.0
7785,1188.0,1246.0
7800,1102.0,1156.0
7815,1185.0,1246.0
7830,1549.0,1618.0
7845,2970.0,3030.0
7860,3244.0,3358.0
7875,3214.0,3350.0
7890,2518.0,2597.0
7905,2396.0,2505.0
7920,2295.0,2409.0
7935,1996.0,2071.0
7950,2046.0,2118.0
7965,1664.0,1730.0
7980,1679.0,1752.0
7995,1972.0,2052.0
8010,2479.0,2506.0
8025,1332.0,1411.0
8040,2039.0,2148.0
8055,1461.0,1524.0
8070,519.0,555.0
8085,430.0,464.0
8100,390.0,422.0
8115,484.0,518.0
8130,520.0,554.0
8145,323.0,351.0
8160,141.0,168.0
8175,18.1,42.4
8190,-8.56,14.0
8205,-22.7,0.5660000000000001
8220,-23.2,0.0
8235,-21.8,0.0
8250,-20.2,0.0
8265,-19.6,0.0
8280,-20.9,0.0
8295,-23.5,0.0
8310,-26.2,0.0
8325,-24.3,0.0
8340,-22.4,0.0
8355,-22.8,0.0
8370,-22.2,0.0
8385,-22.6,0.0
8400,-20.1,0.0
8415,-23.1,0.0
8430,-20.2,0.0
8445,-24.4,0.0
8460,-21.3,0.0
8475,-21.1,0.0
8490,-23.4,0.0
8505,-23.7,0.0
8520,-25.5,0.0
8535,-23.7,0.0
8550,-22.5,0.0
8565,-22.2,0.0
8580,-25.0,0.0
8595,-21.8,0.0
8610,-23.4,0.0
8625,-21.4,0.0
8640,-23.8,0.0
8655,-20.7,0.0
8670,-21.1,0.0
8685,-21.1,0.0
8700,-19.5,0.0
8715,-19.9,0.0
8730,-19.3,0.0
8745,-19.4,0.0
8760,-20.0,0.0
8775,-19.4,0.0
8790,-20.5,0.0
8805,-21.2,0.0
8820,-19.7,0.0
8835,-19.9,0.0
8850,-20.5,0.0
8865,-19.3,0.0
8880,-24.8,0.0
8895,-19.7,0.0
8910,-20.2,0.0
8925,-21.3,0.0
8940,-19.7,0.0
8955,-19.6,0.0
8970,-20.3,0.0
8985,-18.9,0.0
9000,-30.7,0.0
9015,-21.8,0.0
9030,-25.5,0.0
9045,-28.1,0.0
9060,-23.1,1.64
9075,-14.9,10.7
9090,58.3,86.6
9105,340.0,372.0
9120,251.0,283.0
9135,371.0,407.0
9150,602.0,662.0
9165,1541.0,1548.0
9180,886.0,931.0
9195,610.0,651.0
9210,563.0,602.0
9225,569.0,607.0
9240,735.0,778.0
9255,743.0,788.0
9270,722.0,766.0
9285,929.0,981.0
9300,1160.0,1219.0
9315,1361.0,1424.0
9330,1492.0,1558.0
9345,1645.0,1713.0
9360,2128.0,2189.0
9375,1815.0,1860.0
9390,1580.0,1655.0
9405,1809.0,1900.0
9420,2388.0,2492.0
9435,2321.0,2525.0
9450,2430.0,2579.0
9465,2112.0,2198.0
9480,1853.0,1931.0
9495,1595.0,1670.0
9510,1647.0,1735.0
9525,1131.0,1184.0
9540,718.0,755.0
9555,454.0,491.0
9570,285.0,315.0
9585,182.0,211.0
9600,90.7,117.0
9615,17.3,47.7
9630,-7.29,18.6
9645,-24.5,0.015
9660,-21.2,0.0
9675,-23.1,0.0
9690,-23.5,0.0
9705,-23.0,0.0
9720,-24.2,0.0
9735,-25.0,0.0
9750,-22.8,0.0
9765,-21.6,0.0
9780,-22.6,0.0
9795,-22.7,0.0
9810,-24.9,0.0
9825,-22.7,0.0
9840,-24.1,0.0
9855,-23.9,0.0
9870,-23.9,0.0
9885,-22.2,0.0
9900,-24.6,0.0
9915,-21.8,0.0
9930,-23.5,0.0
9945,-24.2,0.0
9960,-22.8,0.0
9975,-23.5,0.0
9990,-22.5,0.0
10005,-23.8,0.0
10020,-22.7,0.0
10035,-22.4,0.0
10050,-24.3,0.0
10065,-21.6,0.0
10080,-20.3,0.0
10095,-21.0,0.0
10110,-20.3,0.0
10125,-20.3,0.0
10140,-19.4,0.0
10155,-19.4,0.0
10170,-19.5,0.0
10185,-19.3,0.0
10200,-19.8,0.0
10215,-18.2,0.0
10230,-19.2,0.0
10245,-19.4,0.0
10260,-19.7,0.0
10275,-19.3,0.0
10290,-18.9,0.0
10305,-19.2,0.0
10320,-20.8,0.0
10335,-18.9,0.0
10350,-18.9,0.0
10365,-18.6,0.0
10380,-18.5,0.0
10395,-17.7,0.0
10410,-20.4,0.0
10425,-18.4,0.0
10440,-24.5,0.0
10455,-19.8,0.0
10470,-22.5,0.0
10485,-25.1,0.0
10500,-25.5,0.0
10515,-24.0,0.0
10530,-14.1,12.4
10545,11.8,40.0
10560,41.8,67.5
10575,43.8,71.1
10590,81.1,108.0
10605,98.5,126.0
10620,83.3,111.0
10635,87.9,117.0
10650,229.0,258.0
10665,393.0,423.0
10680,345.0,376.0
10695,382.0,424.0
10710,257.0,292.0
10725,299.0,329.0
10740,316.0,349.0
10755,521.0,556.0
10770,374.0,401.0
10785,352.0,389.0
10800,301.0,328.0
10815,179.0,204.0
10830,148.0,178.0
10845,155.0,186.0
10860,132.0,159.0
10875,139.0,164.0
10890,121.0,150.0
10905,127.0,151.0
10920,110.0,141.0
10935,103.0,133.0
10950,59.7,85.9
10965,60.7,84.6
10980,61.0,85.8
10995,56.0,82.2
11010,45.2,70.6
11025,51.5,75.9
11040,43.3,67.4
11055,6.48,31.1
11070,-16.1,7.81
11085,-23.6,0.0
11100,-23.4,0.0
11115,-22.5,0.0
11130,-24.1,0.0
11145,-21.8,0.0
11160,-20.7,0.0
11175,-22.4,0.0
11190,-24.4,0.0
11205,-23.0,0.0
11220,-21.8,0.0
11235,-22.2,0.0
11250,-23.5,0.0
11265,-23.1,0.0
11280,-23.4,0.0
11295,-22.6,0.0
11310,-24.9,0.0
11325,-23.2,0.0
11340,-22.0,0.0
11355,-22.8,0.0
11370,-21.4,0.0
11385,-21.9,0.0
11400,-24.2,0.0
11415,-21.2,0.0
11430,-21.5,0.0
11445,-21.1,0.0
11460,-20.4,0.0
11475,-20.8,0.0
11490,-22.3,0.0
11505,-19.8,0.0
11520,-21.0,0.0
11535,-20.9,0.0
11550,-21.2,0.0
11565,-21.0,0.0
11580,-19.1,0.0
11595,-18.7,0.0
11610,-18.3,0.0
11625,-19.3,0.0
11640,-19.3,0.0
11655,-18.3,0.0
11670,-19.1,0.0
11685,-19.3,0.0
11700,-19.3,0.0
11715,-18.4,0.0
11730,-19.3,0.0
11745,-19.8,0.0
11760,-21.4,0.0
11775,-19.6,0.0
11790,-19.4,0.0
11805,-19.7,0.0
11820,-18.8,0.0
11835,-18.6,0.0
11850,-19.1,0.0
11865,-18.4,0.0
11880,-24.6,0.0
11895,-18.3,0.0
11910,-23.0,0.0
11925,-22.5,0.0
11940,-21.9,0.0
11955,-23.0,0.0
11970,-17.8,4.28
11985,-2.84,17.2
12000,19.1,40.3
12015,51.9,73.6
12030,56.2,77.8
12045,56.5,80.2
12060,89.1,114.0
12075,105.0,130.0
12090,121.0,145.0
12105,121.0,147.0
12120,67.7,93.5
12135,66.6,91.5
12150,148.0,175.0
12165,198.0,231.0
12180,192.0,217.0
12195,167.0,194.0
12210,165.0,193.0
12225,105.0,129.0
12240,127.0,155.0
12255,175.0,201.0
12270,126.0,153.0
12285,271.0,302.0
12300,360.0,385.0
12315,354.0,385.0
12330,321.0,353.0
12345,146.0,174.0
12360,153.0,182.0
12375,125.0,152.0
12390,99.5,125.0
12405,123.0,150.0
12420,188.0,213.0
12435,108.0,132.0
12450,75.8,97.4
12465,44.4,65.4
12480,17.0,41.7
12495,-8.27,19.5
12510,-20.3,3.84
12525,-26.3,0.0
12540,-26.1,0.0
12555,-23.8,0.0
12570,-28.4,0.0
12585,-25.6,0.0
12600,-28.3,0.0
12615,-28.7,0.0
12630,-26.6,0.0
12645,-28.6,0.0
12660,-26.6,0.0
12675,-25.5,0.0
12690,-26.5,0.0
12705,-23.2,0.0
12720,-28.7,0.0
12735,-28.1,0.0
12750,-28.8,0.0
12765,-27.1,0.0
12780,-30.2,0.0
12795,-28.7,0.0
12810,-29.7,0.0
12825,-25.1,0.0
12840,-29.9,0.0
12855,-24.0,0.0
12870,-21.7,0.0
12885,-23.6,0.0
12900,-23.6,0.0
12915,-22.8,0.0
12930,-26.9,0.0
12945,-27.5,0.0
12960,-21.3,0.0
12975,-21.2,0.0
12990,-22.2,0.0
13005,-20.6,0.0
13020,-21.9,0.0
13035,-19.8,0.0
13050,-20.4,0.0
13065,-21.6,0.0
13080,-20.6,0.0
13095,-20.9,0.0
13110,-21.8,0.0
13125,-21.1,0.0
13140,-21.8,0.0
13155,-21.9,0.0
13170,-21.5,0.0
13185,-21.7,0.0
13200,-29.2,0.0
13215,-23.7,0.0
13230,-23.3,0.0
13245,-24.7,0.0
13260,-23.0,0.0
13275,-24.6,0.0
13290,-25.6,0.0
13305,-22.2,0.0
13320,-42.0,0.0
13335,-32.0,0.0
13350,-33.3,0.0
13365,-32.7,0.0
13380,-30.3,0.858
13395,-17.9,11.5
13410,47.6,77.4
13425,174.0,204.0
13440,261.0,298.0
13455,615.0,684.0
13470,752.0,793.0
13485,913.0,975.0
13500,883.0,938.0
13515,911.0,934.0
13530,1115.0,1176.0
13545,1140.0,1201.0
13560,1240.0,1269.0
13575,1325.0,1400.0
13590,1248.0,1290.0
13605,1157.0,1210.0
13620,1453.0,1501.0
13635,2086.0,2183.0
13650,2596.0,2625.0
13665,3184.0,3221.0
13680,2651.0,2948.0
13695,3278.0,3218.0
13710,3833.0,4127.0
13725,3279.0,3337.0
13740,2872.0,2929.0
13755,2330.0,2143.0
13770,2077.0,2383.0
13785,1629.0,1371.0
13800,1990.0,1702.0
13815,2356.0,2515.0
13830,2201.0,2295.0
13845,1859.0,1927.0
13860,1593.0,1553.0
13875,1281.0,1258.0
13890,968.0,1045.0
13905,608.0,654.0
13920,311.0,344.0
13935,138.0,164.0
13950,22.5,52.3
13965,-16.7,14.5
13980,-34.3,0.0
13995,-28.2,0.0
14010,-28.6,0.0
14025,-31.2,0.0
14040,-35.0,0.0
14055,-34.0,0.0
14070,-32.4,0.0
14085,-27.8,0.0
14100,-32.7,0.0
14115,-28.3,0.0
14130,-34.2,0.0
14145,-29.7,0.0
14160,-28.6,0.0
14175,-29.5,0.0
14190,-28.5,0.0
14205,-25.9,0.0
14220,-27.8,0.0
14235,-28.9,0.0
14250,-30.9,0.0
14265,-28.5,0.0
14280,-26.2,0.0
14295,-26.7,0.0
14310,-28.9,0.0
14325,-24.5,0.0
14340,-29.5,0.0
14355,-25.1,0.0
14370,-27.1,0.0
14385,-26.7,0.0
14400,-23.0,0.0
14415,-21.8,0.0
14430,-21.7,0.0
14445,-21.6,0.0
14460,-21.7,0.0
14475,-21.7,0.0
14490,-21.2,0.0
14505,-20.9,0.0
14520,-19.8,0.0
14535,-20.9,0.0
14550,-20.4,0.0
14565,-19.8,0.0
14580,-19.8,0.0
14595,-20.9,0.0
14610,-20.2,0.0
14625,-19.5,0.0
14640,-29.1,0.0
14655,-20.5,0.0
14670,-22.1,0.0
14685,-21.8,0.0
14700,-22.6,0.0
14715,-21.6,0.0
14730,-20.4,0.0
14745,-24.7,0.0
14760,-36.9,0.0
14775,-28.7,0.0
14790,-28.5,0.0
14805,-30.3,0.0
14820,-30.2,1.9
14835,-17.0,16.7
14850,26.7,56.6
14865,83.9,113.0
14880,138.0,169.0
14895,198.0,229.0
14910,268.0,304.0
14925,361.0,396.0
14940,500.0,539.0
14955,658.0,716.0
14970,877.0,926.0
14985,1111.0,1169.0
15000,1233.0,1284.0
15015,1229.0,1283.0
15030,2324.0,2056.0
15045,2806.0,2983.0
15060,1293.0,1368.0
15075,1911.0,2145.0
15090,2801.0,2999.0
15105,1651.0,1715.0
15120,1448.0,1492.0
15135,1961.0,2066.0
15150,2336.0,2414.0
15165,2442.0,2671.0
15180,2695.0,2880.0
15195,2904.0,2894.0
15210,1892.0,1978.0
15225,1572.0,1638.0
15240,1306.0,1363.0
15255,1075.0,1120.0
15270,909.0,959.0
15285,602.0,639.0
15300,489.0,522.0
15315,370.0,401.0
15330,222.0,244.0
15345,148.0,169.0
15360,65.7,87.7
15375,21.2,44.1
15390,-8.04,17.0
15405,-25.3,0.0
15420,-23.1,0.0
15435,-23.9,0.0
15450,-25.4,0.0
15465,-26.7,0.0
15480,-22.8,0.0
15495,-24.8,0.0
15510,-24.5,0.0
15525,-21.2,0.0
15540,-25.8,0.0
15555,-26.9,0.0
15570,-23.3,0.0
15585,-26.3,0.0
15600,-24.3,0.0
15615,-24.6,0.0
15630,-24.9,0.0
15645,-23.9,0.0
15660,-27.8,0.0
15675,-29.2,0.0
15690,-26.6,0.0
15705,-23.9,0.0
15720,-22.5,0.0
15735,-23.0,0.0
15750,-24.9,0.0
15765,-25.0,0.0
15780,-25.2,0.0
15795,-25.7,0.0
15810,-24.8,0.0
15825,-25.8,0.0
15840,-20.9,0.0
15855,-20.3,0.0
15870,-21.7,0.0
15885,-20.0,0.0
15900,-20.7,0.0
15915,-19.7,0.0
15930,-21.2,0.0
15945,-20.8,0.0
15960,-22.0,0.0
15975,-21.1,0.0
15990,-20.0,0.0
16005,-20.0,0.0
16020,-20.3,0.0
16035,-19.5,0.0
16050,-20.1,0.0
16065,-19.4,0.0
16080,-24.8,0.0
16095,-22.3,0.0
16110,-20.1,0.0
16125,-23.4,0.0
16140,-21.3,0.0
16155,-22.9,0.0
16170,-20.9,0.0
16185,-20.6,0.0
16200,-33.2,0.0
16215,-28.2,0.0
16230,-28.4,0.0
16245,-32.1,0.0
16260,-32.9,1.71
16275,0.028999999999999998,29.2
16290,136.0,176.0
16305,374.0,419.0
16320,338.0,391.0
16335,438.0,470.0
16350,1007.0,1050.0
16365,1434.0,1431.0
16380,1591.0,1632.0
16395,2005.0,2075.0
16410,2524.0,2616.0
16425,2552.0,2765.0
16440,3116.0,3217.0
16455,3391.0,3551.0
16470,3597.0,3509.0
16485,3905.0,4082.0
16500,4154.0,4297.0
16515,4267.0,4389.0
16530,4345.0,4478.0
16545,4390.0,4537.0
16560,4405.0,4545.0
16575,4324.0,4466.0
16590,4250.0,4395.0
16605,4136.0,4274.0
16620,3974.0,4109.0
16635,3717.0,3843.0
16650,3471.0,3564.0
16665,3134.0,3255.0
16680,2738.0,2840.0
16695,2401.0,2503.0
16710,2089.0,2190.0
16725,1754.0,1788.0
16740,1622.0,1696.0
16755,1196.0,1299.0
16770,1050.0,1103.0
16785,595.0,638.0
16800,329.0,365.0
16815,189.0,221.0
16830,27.6,61.0
16845,-13.2,17.9
16860,-32.2,0.44299999999999995
16875,-29.3,0.0
16890,-27.7,0.0
16905,-29.4,0.0
16920,-28.8,0.0
16935,-29.0,0.0
16950,-25.7,0.0
16965,-28.1,0.0
16980,-26.0,0.0
16995,-26.7,0.0
17010,-28.4,0.0
17025,-29.1,0.0
17040,-31.1,0.0
17055,-31.3,0.0
17070,-27.4,0.0
17085,-25.9,0.0
17100,-29.1,0.0
17115,-26.5,0.0
17130,-28.9,0.0
17145,-26.7,0.0
17160,-26.8,0.0
17175,-25.2,0.0
17190,-24.8,0.0
17205,-23.5,0.0
17220,-24.0,0.0
17235,-26.3,0.0
17250,-26.1,0.0
17265,-25.2,0.0
17280,-21.9,0.0
17295,-20.7,0.0
17310,-20.7,0.0
17325,-20.9,0.0
17340,-21.1,0.0
17355,-19.6,0.0
17370,-19.3,0.0
17385,-18.9,0.0
17400,-19.8,0.0
17415,-18.4,0.0
17430,-18.1,0.0
17445,-19.7,0.0
17460,-19.3,0.0
